FolderNumber,Contents
328,"Lee, John, 1783-1866. 17 ALS and 1 AL to T. J. Pettigrew"
329,"Lee, John Edward, 1808-1887. 3 ALS to T. J. Pettigrew"
330,"Lee, Samuel, 1783-1852. 14 ALS to T. J. Pettigrew"
331,"Lee, Sarah (Wallis) Bowdich, 1791-1856. ALS and AL to T. J. Pettigrew"
332,"Leemans, Conrad. 10 ALS to T. J. Pettigrew"
333,"Lemon, Robert, 1779-1835. 7 ALS and 1 AL to T. J. Pettigrew"
334,"Lemon, Robert, 1800-1867. 3 ALS and 2 AL to T. J. Pettigrew"
335,"Leslie, Charles Robert, 1794-1859. ALS to T. J. Pettigrew"
336,"Lete, Thomas. ALS to T. J. Pettigrew"
337,"Lewis, Frederick Christian, 1779-1856. AL to T. J. Pettigrew"
338,"Lewis, George Robert, 1782-1871. 2 ALS to T. J. Pettigrew"
339,"Lewis, Griffith George, 1784-1859. AL to T. J. Pettigrew"
340,ALS to unnamed recipient
341,ALS to Mr. Lindsay
342,2 ALS to T. J. Pettigrew
343,"Liston, Robert, 1794-1847. 9 ALS to T. J. Pettigrew"
344,"Lloyd, W. ALS to T. J. Pettigrew"
345,"Loewe, Louis, 1809-1888. 7 ALS to T. J. Pettigrew"
346-347,"Londesborough, Albert Denison, 1st Baron, 1805-1860. 43 ALS to T. J. Pettigrew and 1 ALS fragment to unidentified [The V. Revd. Dean of ?]"
348,"Lonsdale, James, 1777-1839. ALS to T. J. Pettigrew"
349,"Lonsdale, John, Bp. of Lichfield, 1788-1867. 2 ALS to T. J. Pettigrew"
350,"Lough, John Graham, 1806-1876. ALS to T. J. Pettigrew"
351,ALS to T. J. Pettigrew
352,3 ALS to J. R. Planché
353,"Ludolf, comte de [Neopolitan Ambassador]. ALS and AL to T. J. Pettigrew"
354,"Lynch, Christopher. 3 ALS to T. J. Pettigrew"
355,"Macdonald, Lawrence, 1799-1878. AL to T. J. Pettigrew"
356,"McGrigor, Sir Charles Roderic, bart., b. 1811. 3 ALS to T. J. Pettigrew"
357,"McGrigor, Sir James, bart., 1771-1858. 7 ALS, 1 LS, 1 AL to T. J. Pettigrew"
358,"Mackenzie, Robert Shelton, 1809-1880. ALS to T. J. Pettigrew"
359,"Mackinnon, William Alexander, 1789-1870. 7 ALS and 1 AL to T. J. Pettigrew"
360,"Maitland, Samuel Roffey, 1792-1866. ALS to T. J. Pettigrew"
361,"Maltby, Edward, Bp. of Durham, 1770-1859. 23 ALS to T. J. Pettigrew"
362,"Manby, George William, 1765-1854. 2 ALS to T. J. Pettigrew"
363,"Mandelsloh, count (Würtemberg Minister to Gr. Brit.). 1 ALS and 2 AL to T. J. Pettigrew"
364,"Mangles, James, 1786-1867. 5 ALS to T. J. Pettigrew."
365,"Manvers, Charles Herbert Pierrepont, 2d Earl, 1778-1860. ALS to T. J. Pettigrew"
366,"Markland, James Heywood, 1788-1864. ALS to T. J. Pettigrew"
367,"Marrable, Frederick, 1818-1872. ALS to T. J. Pettigrew"
368,"Marsden, William, 1754-1836. ALS and 2 AL to T. J. Pettigrew"
369,"Marshall, William Calder, 1813-1894. 3 ALS to T. J. Pettigrew"
370,"Martin, Sir James Ranald, 1793-1874. 2 ALS to T. J. Pettigrew"
371,"Martin, Leopold Charles, 1817-1889. ALS to T. J. Pettigrew"
372,"Maton, William George, 1774-1835. ALS to T. J. Pettigrew"
373,"Maugham, Robert, d. 1862. 3 ALS to T. J. Pettigrew"
374,"Mayer, Joseph, 1803-1886. 2 ALS to T. J. Pettigrew"
375,"Mayo, Herbert, 1796-1852. 4 ALS to T. J. Pettigrew"
376,"Melfort, George Drummond, 6th Duke of, 1807-1902. ALS to T. J. Pettigrew"
377,"Merivale, John Herman, 1779-1844. 5 ALS to T. J. Pettigrew"
378,"Merriman, Samuel, 1771-1852. 4 ALS to T. J. Pettigrew"
379,"Meyrick, Sir Samuel Rush, 1783-1848. 11 ALS to T. J. Pettigrew"
380,"Monk, James Henry, Bp. of Gloucester and Bristol, 1784-1856. ALS to C. R. Smith"
381,"Montfort, Henry Bromley, Lord, 3d Baron of Horseheath, 1773-1851. ALS to T. J. Pettigrew"
382,"Moodie, John. 8 ALS to T. J. Pettigrew"
383,"Moore, James Carrick, 1762-1860. 3 ALS and 1 AL to T. J. Pettigrew"
384,"2 ALS (in French), 2 LS to T. J. Pettigrew and 1 document, signed"
385,LS to the Duke of Sussex
386,"Morgan, John Minter, 1782-1854. 3 ALS to T. J. Pettigrew"
387,"Morley, Edmund Parker, 2d Earl of, 1810-1864. ALS to T. J. Pettigrew"
388,"Mudge, William, 1762-1820. ALS to T. J. Pettigrew"
389,"Müller, William, d. 1846. 3 ALS to T. J. Pettigrew"
390,"Mulready, William, 1786-1863. ALS to T. J. Pettigrew"
391,"Munro, Hugh Andrew Johnstone, 1819-1885. ALS to T. J. Pettigrew"
392,"Munster, George Augustus Frederick Fitzclarence, 1st Earl of, 1794-1842. 4 ALS and 1 AL to T. J. Pettigrew"
393,"Murdoch, Thomas, b. 1757. 4 ALS and 1 AL to T. J. Pettigrew"
394,"Murray, John, 1808-1892. ALS to T. J. Pettigrew"
395,"Nares, Robert, 1753-1829. AL to T. J. Pettigrew"
396,"Nash, John, 1752-1835. 2 AL to T. J. Pettigrew"
397,"Nayler, Sir George, 1764?-1831. 2 ALS and 1 LS to T. J. Pettigrew"
398,"Needham, Francis Henry, 1819-1902. ALS to T. J. Pettigrew"
399,"Newman, John, 1786-1859. ALS to T. J. Pettigrew"
400,"Nichols, John Bowyer, 1779-1863. 2 ALS to T. J. Pettigrew"
401,"Nichols, John Gough, 1806-1873. 4 ALS to T. J. Pettigrew"
402,"Nicolas, [John] Toup, 1788-1851. ALS to Mr. Smyth"
403,"Nightingale, Margaret (Goostry). ALS to T. J. Pettigrew"
404,"Northampton, Spencer Joshua Alwyne, 2d Marquis of, 1790-1851. AL to T. J. Pettigrew"
405,"Northumberland, Algernon Percy, 4th Duke of, 1792-1865. 3 ALS to T. J. Pettigrew"
406,"Northwick, John Rushout, 2d Baron, 1811-1887. AL to T. J. Pettigrew"
407,Numismatic Society. LS (signed Henry Christmas) to C. R. Smith
408,"Oldfield, John, 1789-1863. 6 ALS and 1 AL to T. J. Pettigrew"
409,"Ollivant, Alfred, Bp. of Llandaff, 1798-1882. 2 ALS and 1 AL to T. J. Pettigrew"
410,"Ord, John Walker, 1811-1853. 5 ALS to T. J. Pettigrew"
411,"Ouseley, Sir Gore, 1770-1884. 2 ALS and 1 AL to T. J. Pettigrew"
412,"Outram, Sir Benjamin Fonseca, 1774-1856. 4 ALS to T. J. Pettigrew"
413,"Ouvry, Frederic, 1814-1881. ALS to T. J. Pettigrew"
414,"Overstone, Samuel Jones Lloyd, 1st Baron, 1796-1883. ALS to T. J. Pettigrew"
415,"Papworth, Edgar George, 1809-1886. ALS (AL in different hand) to T. J. Pettigrew"
416,"Parke, Henry, 1792?-1835. ALS to T. J. Pettigrew"
417,"Patten, George, 1801-1865. ALS and AL to T. J. Pettigrew"
418,"Peacock, George, 1791-1858. 2 ALS to T. J. Pettigrew"
419,"Peel, Sir Robert, bart., 1788-1850. AL to T. J. Pettigrew"
420,"Peile, Thomas Williamson, 1806-1882. ALS to T. J. Pettigrew"
421,"Penn, John, 1760-1834. ALS to T. J. Pettigrew"
422,"Pennethorne, Sir James, 1801-1871. AL to T. J. Pettigrew"
423,"Pepys, William Hasledine, 1775-1856. AL to T. J. Pettigrew"
424,"Pereira, Jonathan, 1804-1853. 2 ALS and 3 AL to T. J. Pettigrew"
425,"Petre, William Bernard Petre, 12th Baron, 1817-1884. ALS to T. J. Pettigrew"
426,ALS to the British Archaeological Association
427,ALS to unnamed recipient
428,"Pettigrew, William. ALS to T. J. Pettigrew"
429,"Philip, Alexander Philip Williamson, 1770?-1851?. 2 ALS to T. J. Pettigrew"
430,"Phillipps, Sir Thomas, 1792-1872. 3 ALS to T. J. Pettigrew"
431,"Phillips, Thomas, 1770-1845. 4 ALS to T. J. Pettigrew"
432,"Phillpotts, Henry, Bp. of Exeter, 1778-1869. 2 ALS to T. J. Pettigrew"
433,"Phipps, Sir Charles Beaumont, 1801-1866. 2 ALS to T. J. Pettigrew"
434,"Pickersgill, Henry William, 1782-1875. 5 ALS and 3 AL to T. J. Pettigrew"
435,"Pidgeon, Henry Clark, 1807-1880. 2 ALS to T. J. Pettigrew"
436,"Pitcairn, Robert, 1793-1855. ALS to T. J. Pettigrew"
437,"Pitts, William, 1790-1840. 2 ALS and 1 AL to T. J. Pettigrew"
438,"Planché, James Robinson, 1796-1880. 11 ALS to T. J. Pettigrew"
439,"Poltimore, Augustus Frederick George Warwick Bampfylde, 2d Baron, 1837-1908. 2 ALS to T. J. Pettigrew"
440,"Pomfret, George Fermor, 3d Earl of, 1768-1830. AL to T. J. Pettigrew"
441,"Pond, John, 1767-1836. 6 ALS to T. J. Pettigrew"
442,"Poste, Beale, 1793-1871. 8 ALS to T. J. Pettigrew"
443,"Powis, Edward James Herbert, 3d Earl of, 1818-1891. ALS and AL to T. J. Pettigrew"
444,"Poynder, John, 1779-1849. 3 ALS to T. J. Pettigrew"
445,"Prout, William, 1783-1852. ALS to T. J. Pettigrew"
446,"Purland, Theophilius. ALS to Thomas Wright"
447,"Radnor, Jacob Pleydell-Bouverie, 8th Earl of, 1815-1889. ALS to T. J. Pettigrew"
448,"Reeve, Lovell Augustus, 1814-1865. 3 ALS to T. J. Pettigrew"
449,"Rennie, Sir John, 1794-1874. 2 ALS to T. J. Pettigrew"
450,"Renouard, George Cecil, 1780-1867. ALS and AL to T. J. Pettigrew"
451,"Richards, George, 1767-1837. ALS to T. J. Pettigrew"
452,"Richardson, Charles James, 1806-1871. ALS to James R. Planché"
453,"Richardson, Moses Aaron, 1793-1871. ALS to T. J. Pettigrew"
454,"Riego, Miguel del. 8 ALS to T. J. Pettigrew and 1 ALS to the Duke of Sussex"
455,"Rifaud, J. J. 1 AL to T.J. Pettigrew and Prospectus, signed, for Voyage en Égypte, et en Nubie, 1827."
456,"Rigby, Edward, 1804-1860. ALS to T. J. Pettigrew"
457,"Rimbault, Edward Francis, 1816-1876. 3 ALS to T. J. Pettigrew"
458,"Roberts, David, 1796-1864. 4 ALS to T. J. Pettigrew"
459,"Roberts, P[eter?], 1760?-1819. ALS to unidentified."
460,"Robertson, Andrew, 1777-1845. 1 ALS and 3 AL to T. J. Pettigrew"
461,"Robinson, Peter Frederick, 1776-1858. 3 ALS to T. J. Pettigrew"
462,"Roe, George Hamilton, 1795-1873. 2 ALS to T. J. Pettigrew"
463,"Rogers, William Harry, 1825-1873. 4 ALS to T. J. Pettigrew"
464,"Roget, Peter Mark, 1779-1869. 5 ALS to T. J. Pettigrew"
465,"Rokewode, John Gage, 1786-1842. 7 ALS to T. J. Pettigrew"
466,"Room, Henry, 1802-1850. AL to T. J. Pettigrew"
467,"Rowan, Sir Charles, 1782-1852. ALS and LS to T. J. Pettigrew"
468,Royal Botanic Society. LS (signed James Sowerby) to T. J. Pettigrew
469,Royal Society of London. LS (signed Davies Gilbert) to T. J. Pettigrew
470,"Rudge, Edward, 1763-1846. 2 ALS to T. J. Pettigrew"
471,"Sabine, Sir Edward, 1788-1883. LS to T. J. Pettigrew"
472,"Sabine, Joseph, 1770-1837. 2 ALS to T. J. Pettigrew"
473,"Sala, Henrietta Catherina Florentina (Simon), 1789-1860. 1 ALS to T.J. Pettigrew"
474,"Salisbury, William. ALS to T. J. Pettigrew"
475,"Sass, Henry, 1788-1844. 3 ALS to T. J. Pettigrew"
476,"Saull, William Devonshire, 1784-1855. ALS to T. J. Pettigrew"
477,"Saumarez, Richard, 1764-1835. 1 ALS to T.J. Pettigrew"
478,"Sayer, Augustin, 1790-1861. 2 ALS to T. J. Pettigrew"
479,"Scott, John. 4 ALS to T. J. Pettigrew"
480,"Scudamore, Sir Charles, 1779-1849. ALS to T. J. Pettigrew"
481,"Scudamore, Georgiana (Johnson), lady. 2 AL to T. J. Pettigrew"
482,"Sedgwick, Adam, 1785-1873. 3 ALS to T. J. Pettigrew"
483,"Seymour, Edward James, 1796-1866. AL to T. J. Pettigrew"
484,"Shakespear, John, 1774-1858. ALS to T. J. Pettigrew"
485,"Sharp, Sir Cuthbert, 1781-1849. ALS to T. J. Pettigrew"
486,"Sharp, William, 1805-1896. ALS to T. J. Pettigrew"
487,"Sharpe, Edmund, 1809-1877. 4 ALS and a fragment to T. J. Pettigrew"
488,"Shaw, Alexander, 1804-1890. 2 ALS and 1 AL to T. J. Pettigrew"
489,"Shee, Sir Martin Archer, 1769-1850. 3 ALS and 2 AL to T. J. Pettigrew"
490,"Sievier, Robert William, 1794-1865. ALS and AL to T. J. Pettigrew"
491,"Skelton, Joseph, fl. 1820-1850. AL to T. J. Pettigrew"
492,"Sleath, John, 1767-1847. 4 ALS to T. J. Pettigrew"
493,"Smart, Benjamin Humphrey 1786?-1872. 3 ALS to T. J. Pettigrew"
494,"Smart, Sir George Thomas, 1776-1867. 5 ALS to T. J. Pettigrew"
495,"Smith, Charles John, 1803-1838. ALS to T. J. Pettigrew"
496,"Smith, Charles Roach, 1807-1890. 6 ALS to T. J. Pettigrew"
497,"Smith, Sir William Sidney, 1764-1840. 4 ALS to T.J. Pettigrew and 1 ALS to the Duke of Sussex"
498,"Smyth, William Henry, 1788-1865. 5 ALS to T. J. Pettigrew, 14 ALS to unidentified."
499,"Soames, Henry, 1785-1860. 2 ALS to T. J. Pettigrew"
500,ALS (in French) to M. Moreau
501,ALS (in French) to T. J. Pettigrew
502,Société des Antiquaries de Picardie. 3 ALS (signed J. Garnie) to President of the B.A.A. and 1 ALS to President of the British Assoc. of Conservation of Monuments
503,"Solly, Edward, 1819-1866. 3 ALS to T. J. Pettigrew and 1 ALS to Charles Roach Smith"
504,"Somerset, Edward Adolphus Seymour, 11th Duke of, 1775-1855. 2 AL to T. J. Pettigrew"
505,"Southey, Henry Herbert, 1783-1865. ALS to T. J. Pettigrew"
506,"Spence, William, 1783-1858. ALS and AL to T. J. Pettigrew"
507,"Spencer, John Charles Spencer, 3d Earl, 1782-1845. ALS to T. J. Pettigrew"
508,"Spring-Rice, William Cecil, 1823-1880. ALS to T. J. Pettigrew"
509,"Spurgin, John, 1797-1866. 3 ALS to T. J. Pettigrew"
510,"Squier, Ephraim George, 1821-1888. 3 ALS to T.J. Pettigrew and 1 ALS to Charles Roach Smith"
511,"Stanfield, Clarkson, 1793-1867. ALS to T. J. Pettigrew"
512,"Stanley, Edward John Stanley, 2d Baron, 1802-1869. 2 AL to T. J. Pettigrew"
513,"Stapleton, Thomas, 1805-1849. 5 ALS to T. J. Pettigrew"
514,"Streatfield, Thomas, 1777-1848. ALS to T. J. Pettigrew"
515,"Strutt, Jacob George, fl. 1820-1850. ALS to the Duke of Sussex"
516,"Stuart de Decies, Henry Villiers Stuart, 1st Baron, 1803-1874. AL to Mr. Stephenson"
517,"Suckling, Alfred Inigo, 1796-1856. ALS to T. J. Pettigrew"
518,"Sykes, William Henry, 1790-1872. 3 ALS to T. J. Pettigrew"
519,"Symmons, Charles, 1749-1826. ALS to T. J. Pettigrew"
520,"Talman, J. J. ALS to T. J. Pettigrew"
521,"Tankerville, Charles Bennet, 6th Earl of, 1810-1899. 2 ALS to T. J. Pettigrew"
522,"Taylor, Edward, 1784-1863. 3 ALS to T. J. Pettigrew"
523,"Taylor, Sir Herbert, 1775-1839. 1 ALS to T. J. Pettigrew, 3 ALS to the Duke of Sussex, 1 ALS to Col. Fitzclarence."
524,"Taylor, John, 1757-1832. 4 ALS to T. J. Pettigrew, with three poems"
525,"Taylor, Michael Angelo, 1757-1834. ALS to T. J. Pettigrew"
526,"Taylor, Thomas, 1758-1835. 3 ALS to T. J. Pettigrew"
527,"Thelwall, [John?], 1764-1834. AL to T. J. Pettigrew"
528,"Thomas, Honoratus Leigh, 1769-1846. 6 ALS and 1 AL to T. J. Pettigrew"
529,"Thompson, James, 1817-1877. ALS to T. J. Pettigrew"
530,"Thoms, William John, 1803-1885. 2 ALS to T. J. Pettigrew"
531,"Thomson, Anthony Todd, 1778-1849. 2 ALS to T. J. Pettigrew"
532,"Thomson, William, ABp. of York, 1819-1890. 3 ALS to T. J. Pettigrew"
533,"Tite, Sir William, 1798-1873. ALS to T. J. Pettigrew"
534,"Tod, James, 1782-1835. ALS to T. J. Pettigrew"
535,"Todd, Henry John, 1763-1845. ALS to T. J. Pettigrew"
536,"Tonna, Lewis Hippolytus Joseph, 1812-1857. 3 ALS to T. J. Pettigrew"
537,"Torrens, Robert. 5 ALS to T. J. Pettigrew"
538,"Townley, James, 1774-1833. ALS to T. J. Pettigrew"
539,"Toynbee, Joseph, 1815-1866. ALS to [T. J.] Pettigrew"
540,"Traherne, John Montgomery, 1788-1860. ALS to T. J. Pettigrew"
541,"Travers, Benjamin, 1783-1858. 4 ALS and 2 AL to T. J. Pettigrew"
542,"Tupper, Martin Farquhar, 1810-1889. 6 ALS and 1 AL to T. J. Pettigrew"
543,"Turnbull, William. ALS to T. J. Pettigrew"
544,"Turner, Charles, 1774-1857. 2 ALS to T. J. Pettigrew"
545,"Turner, Dawson, 1755-1858. 22 ALS to T. J. Pettigrew"
546,"Turner, Sir Tomkyns Hilgrove, 1766?-1843. 2 ALS and 1 AL to T. J. Pettigrew"
547,"Tuthill, Sir George Leman, 1772-1835. ALS and AL to T. J. Pettigrew"
548,"Tymms, Samuel, 1808-1871. ALS to T. J. Pettigrew"
549,"Tyrrell, Frederick, 1793-1843. 2 ALS to T. J. Pettigrew"
550,"Upham, Edward, 1776-1834. 3 ALS to T. J. Pettigrew"
551,"Ure, Andrew, 1778-1857. ALS to T. J. Pettigrew"
552,"Uwins, David, 1780?-1837. AL to T. J. Pettigrew"
553,"Valpy, Richard, 1754-1836. 8 ALS to T. J. Pettigrew"
554,"Vigors, Nicholas Aylward, 1785-1840. ALS and AL to T. J. Pettigrew"
555,"Vulliamy, Lewis, 1791-1871. 2 ALS and 1 AL to T. J. Pettigrew"
556,"Wadd, Thomas M. ALS to T. J. Pettigrew"
557,"Waddington, George, 1793-1869. 4 ALS to T. J. Pettigrew and 1 ALS to the Duke of Sussex"
558,"Wallich, Nathaniel, 1786-1854. 2 ALS and 1 AL to T. J. Pettigrew"
559,"Warburton, Henry, 1784?-1858. ALS to T. J. Pettigrew"
560,"Ward, Edward Matthew, 1816-1879. ALS and AL to T. J. Pettigrew"
561,"Ward, James, 1769-1859. 2 ALS and 1 AL to T. J. Pettigrew"
562,"Wardrop, James, 1782-1869. 3 ALS and 2 AL to T. J. Pettigrew"
563,"Warne, Elizabeth. 2 ALS to T. J. Pettigrew"
564,"Warneford, Samuel Wilson, 1763-1855. 3 ALS to T. J. Pettigrew"
565,"Watson, Ralph. 9 ALS to T. J. Pettigrew"
566,"Way, Albert. 1805-1874. 6 ALS to T. J. Pettigrew"
567,"Webster, Thomas, 1800-1886. ALS to T. J. Pettigrew"
568,"Weld, Charles Richard, 1813-1869. ALS and LS to T. J. Pettigrew"
569,2 ALS to T. J. Pettigrew
570,ALS to C. R. Smith
571,"Wemyss, David Douglas, 1760-1839. ALS to T. J. Pettigrew"
572,"Westall, Richard, 1765-1836. 2 ALS to T. J. Pettigrew"
573,"Westmacott, Sir Richard, 1775-1856. 14 ALS and 1 AL to T. J. Pettigrew, 1 ALS to T[homas?] Taylor, 1 ALS to [W.R. Hamilton]"
574,"Westmacott, Richard, 1799-1872. ALS to T. J. Pettigrew"
575,"Wharncliffe, Edward Montagu-Stuart- Wortley Mackenzie, 1st Earl of, 1827-1899. ALS to T. J. Pettigrew"
576,"Whatton, William Robert, 1790-1835. ALS to T. J. Pettigrew"
577,"Wheatley, J. H. W. ALS to T. J. Pettigrew"
578,"Whichcord, John, 1823-1885. ALS to T. J. Pettigrew"
579,"Whittaker, George Byrom, 1793-1847. ALS to T. J. Pettigrew"
580,"Whittaker, John William, 1790?-1854. 3 ALS to T. J. Pettigrew"
581,"Wilbraham, Roger, 1744-1829. 2 ALS and 1 AL to T. J. Pettigrew"
582,"Wild, Charles, 1781-1835. ALS to T. J. Pettigrew"
583,"Wilkins, George, 1785-1865. ALS to T. J. Pettigrew"
584,"Wilkins, William, 1778-1839. ALS and AL to T. J. Pettigrew"
585-590,"Wilkinson, Sir John Gardner, 1797-1875. 91 ALS and 1 AL to T. J. Pettigrew"
591,"Williams, John, 1811-1862. 1 ALS to T.J. Pettigrew"
592,"Willis, Robert, 1800-1875. 1 AL to Sir John Gardner Wilkinson"
593,"Willson, Edward James, 1787-1854. ALS to T. J. Pettigrew"
594,"Wilson, Sir Daniel, 1816-1892. ALS to T. J. Pettigrew"
595,"Wilson, James Arthur, 1795-1882. 4 ALS to T. J. Pettigrew"
596,"Wilson, Matthew. 4 ALS and 1 AL to T. J. Pettigrew"
597,"Woodfall, George, 1767-1844. 4 ALS to T. J. Pettigrew"
598,"Word, J. ALS and LS to T. J. Pettigrew"
599,"Wrangham, Francis, 1769-1842. 4 ALS to T. J. Pettigrew"
600,"Wright, John, 1770?-1844. 3 ALS to T. J. Pettigrew"
601,"Wright, Thomas, 1810-1877. 10 ALS to T. J. Pettigrew"
602,"Wynyard, Miss. AL to Mr. Stephenson"
603,"Wyon, William, 1795-1851. ALS and AL to T. J. Pettigrew"
604,"Yeats, Grant David, 1773-1836. AL to T. J. Pettigrew"
605,"Yorke, Charles Philip, 1764-1834. AL to T. J. Pettigrew"
606,"Yorke, Sir Joseph Sidney, 1768-1831. ALS to T. J. Pettigrew"
607,"Youatt, William, 1776-1847. 3 ALS to T. J. Pettigrew"
608,"Young, Sir Charles George, 1795-1869. 5 ALS and 1 AL to T. J. Pettigrew"
609,"Young, G. 5 ALS to T.J. Pettigrew"
610,"Zouche, Robert Curzon, 14th Baron, 1810-1873. AL to [T. J. Pettigrew]"
